-1,-550,29947,-0.0183657795438608,0.022121154817798
-10,-99.5,2642,-0.037660862982589,0.00195158416631456
-11,-28,1944,-0.01440329218107,0.00143598774387415
-12,-71.5,1437,-0.0497564370215727,0.00106147859462302
-13,-55,981,-0.0560652395514781,0.000724641963343901
-14,-52.5,706,-0.0743626062322946,0.000521505837024255
-15,-6,494,-0.0121457489878543,0.000364906350552383
-16,-35.5,330,-0.107575757575758,0.000243763351583575
-17,11,246,0.0447154471544715,0.000181714498453211
-18,4.5,160,0.028125,0.000118188291676885
-19,7.5,132,0.0568181818181818,9.75053406334301e-05
-2,-289.5,25033,-0.0115647345503935,0.0184912969096716
-20,-3.5,77,-0.0454545454545455,5.68781153695009e-05
-21,-1,48,-0.0208333333333333,3.54564875030655e-05
-22,-17,45,-0.377777777777778,3.32404570341239e-05
-23,-3.5,23,-0.152173913043478,1.69895669285522e-05
-24,-2,21,-0.0952380952380952,1.55122132825912e-05
-25,4,22,0.181818181818182,1.62508901055717e-05
-26,-3,19,-0.157894736842105,1.40348596366301e-05
-27,-4,7,-0.571428571428571,5.17073776086372e-06
-28,1.5,12,0.125,8.86412187576638e-06
-29,-4,5,-0.8,3.69338411490266e-06
-3,-102.5,20411,-0.00502180196952624,0.0150771326338556
-30,-2,2,-1,1.47735364596106e-06
-4,30,15649,0.00191705540290114,0.0115595536028223
-5,-110.5,11722,-0.00942671898993346,0.00865876971897779
-6,44.5,8976,0.00495766488413547,0.00663036316307325
-7,-139,6821,-0.0203782436592875,0.0050385146095502
-8,-242.5,5004,-0.0484612310151879,0.00369633882219458
-9,23,3701,0.00621453661172656,0.00273384292185095
0,-676.5,54379,-0.0124404641497637,0.0401685069568583
1,-183,36675,-0.00498977505112474,0.027090972482811
10,-664.5,39085,-0.0170014071894589,0.0288711836261941
11,-709,38929,-0.0182126435305299,0.0287559500418091
12,-395.5,38812,-0.0101901473770999,0.0286695248535204
13,-81.5,38436,-0.00212040795087938,0.0283917823680797
14,-30.5,38636,-0.000789419194533596,0.0285395177326758
15,-338,38204,-0.0088472411265836,0.0282204093451482
16,-436,38407,-0.0113520972739344,0.0283703607402133
17,-225,37846,-0.00594514611848016,0.0279559630425212
18,-123,37076,-0.00331750997950156,0.0273871818888262
19,-377.5,36817,-0.0102534155417334,0.0271958645916742
2,-348.5,38355,-0.00908616868726372,0.0283319495454183
20,-103.5,36181,-0.00286061745114839,0.0267260661322586
21,-536,35290,-0.015188438651176,0.026067905082983
22,-249,34431,-0.00723185501437658,0.0254333816920427
23,158,33323,0.00474146985565525,0.0246149277721802
24,-272.5,31829,-0.00856137484683779,0.0235113445986473
25,127,30338,0.00418616916078845,0.0224099774555834
26,58,28927,0.00200504718774847,0.0213677044583578
27,206.5,27048,0.00763457556935818,0.0199797307079774
28,216,24782,0.00871600355096441,0.0183058890271035
29,-7,23117,-0.000302807457715101,0.0170759921168409
3,-490.5,38423,-0.0127657913229056,0.028382179569381
30,254,20607,0.0123259086718105,0.0152219132911598
31,164,18320,0.00895196506550218,0.0135325593970033
32,301,16193,0.0185882788859384,0.0119613937945237
33,260.5,14006,0.0185991717835213,0.0103459075826653
34,393,11836,0.0332037850625211,0.00874297887679757
35,68.5,9992,0.00685548438751001,0.00738085881522147
36,140,8296,0.0168756027000964,0.00612806292344649
37,115,6763,0.017004288037853,0.00499567135381733
38,203,5285,0.0384105960264901,0.00390390700945211
39,117.5,4090,0.0287286063569682,0.00302118820599037
4,-370.5,39081,-0.00948031012512474,0.0288682289189021
40,155.5,3237,0.0480383070744517,0.00239109687598798
41,12,2447,0.00490396403759706,0.00180754218583336
42,62.5,1841,0.0339489407930473,0.00135990403110716
43,73.5,1305,0.0563218390804598,0.000963973253989593
44,0,992,0,0.000732767408396687
45,79,739,0.106901217861976,0.000545882172182613
46,16,502,0.0318725099601594,0.000370815765136227
47,-8,331,-0.0241691842900302,0.000244502028406556
48,2,272,0.00735294117647059,0.000200920095850705
49,6.5,194,0.0335051546391753,0.000143303303658223
5,-431.5,39077,-0.0110423010978325,0.0288652742116102
50,17.5,119,0.147058823529412,8.79025419346832e-05
51,11.5,87,0.132183908045977,6.42648835993062e-05
52,-10.5,34,-0.308823529411765,2.51150119813381e-05
53,-4.5,31,-0.145161290322581,2.28989815123965e-05
54,-8,9,-0.888888888888889,6.64809140682478e-06
55,2.5,9,0.277777777777778,6.64809140682478e-06
56,1,3,0.333333333333333,2.21603046894159e-06
58,0.5,3,0.166666666666667,2.21603046894159e-06
6,-646.5,39106,-0.0165319899759628,0.0288866958394767
7,-264,38921,-0.00678297063282033,0.0287500406272253
8,-382,38782,-0.00984993038007323,0.028647364548831
9,-524,39299,-0.0133336726125347,0.0290292604663119
